date,bltyy:weilai5
2016/8/1,0.076483202
2016/7/29,0.052108006
2016/7/28,0.023374219
2016/7/27,0.006487488
2016/7/26,-0.042218165
2016/7/25,-0.052726049
2016/7/22,-0.032900627
2016/7/21,-0.056405772
2016/7/20,-0.051309807
2016/7/19,-0.054317844
2016/7/18,-0.043459645
2016/7/15,-0.0274293
2016/7/14,-0.039509253
2016/7/13,0
2016/7/12,0.003221649
2016/7/11,-0.024071384
2016/7/8,0.043846321
2016/7/7,0.014857881
2016/7/6,0.002368138
2016/7/5,-0.021522843
2016/7/4,-0.043794105
2016/7/1,-0.071942446
2016/6/30,-0.081107814
2016/6/29,-0.009851226
2016/6/28,-0.05455259
2016/6/27,0.013160559
2016/6/24,0.063538818
2016/6/23,0.027473662
2016/6/22,-0.00351975
2016/6/21,-0.009823577
2016/6/20,-0.067124632
2016/6/17,-0.039674668
2016/6/16,0.038375635
2016/6/15,0.060599617
2016/6/14,0.047922666
2016/6/13,0.023553299
2016/6/10,-0.015
2016/6/9,-0.068343899
2016/6/8,-0.062475897
2016/6/7,-0.065464896
2016/6/6,-0.028937658
2016/6/3,0
2016/6/2,0.040529695
2016/6/1,0.055477669
2016/5/31,0.035182951
2016/5/30,0.019386107
2016/5/27,-0.008750994
2016/5/26,-0.001998801
2016/5/25,-0.003406131
2016/5/24,-0.005222981
2016/5/23,0.025285481
2016/5/20,0.0338913
2016/5/19,0.024004924
2016/5/18,0.018829308
2016/5/17,0.010300783
2016/5/16,-0.01965154
2016/5/13,-0.007938123
2016/5/12,0.021107628
2016/5/11,0.013149656
2016/5/10,0.041350211
2016/5/9,0.081205986
2016/5/6,0.101265823
2016/5/5,0.058083039
2016/5/4,0.048208757
2016/5/3,0.011576135
2016/5/2,-0.039354411
2016/4/29,-0.013722501
2016/4/28,-0.044378698
2016/4/27,-0.057885906
2016/4/26,-0.037659574
2016/4/25,-0.010986644
2016/4/22,0.057430168
2016/4/21,0.055801594
2016/4/20,0.050748938
2016/4/19,0.018205747
2016/4/18,0.021689498
2016/4/15,0.046339203
2016/4/14,0.043873979
2016/4/13,0.041343079
2016/4/12,-0.002277904
2016/4/11,-0.025293586
2016/4/8,0.000934361
2016/4/7,0.045118167
2016/4/6,0.106908724
2016/4/5,0.113962264
2016/4/4,0.116879729
2016/4/1,0.114688664
2016/3/31,0.023483871
2016/3/30,-0.009715994
2016/3/29,-0.040310466
2016/3/28,-0.061204097
2016/3/24,-0.035829808
2016/3/23,-0.007663782
2016/3/22,-0.014800197
2016/3/21,-0.037277537
2016/3/18,-0.029461483
2016/3/17,-0.02436083
2016/3/16,-0.021482018
2016/3/15,0.034071127
2016/3/14,0.063157895
2016/3/11,0.043543921
2016/3/10,0.026002972
2016/3/9,0.00124502
2016/3/8,-0.046278159
2016/3/7,0.00480526
2016/3/4,-0.011021308
2016/3/3,0.031595171
2016/3/2,0.101402373
2016/3/1,0.066918511
2016/2/29,0.11557377
2016/2/26,0.0625
2016/2/25,0.046275395
2016/2/24,0.044532131
2016/2/23,0.063644289
2016/2/22,0.113677812
2016/2/19,0.022209403
2016/2/18,0.071256039
2016/2/17,0.012356575
2016/2/16,-0.056495555
2016/2/15,0.073374613
2016/2/12,-0.026168774
2016/2/11,0.041041348
2016/2/10,0.120141343
2016/2/9,0.042944785
2016/2/8,0.103862382
2016/2/5,-0.016862391
2016/2/4,-0.087899209
2016/2/3,-0.099447514
2016/2/2,-0.13137863
2016/2/1,0.019649985
2016/1/29,0
2016/1/28,-0.041260106
2016/1/27,0.001977401
2016/1/26,-0.036960378
2016/1/25,0.097780637
2016/1/22,0.192090395
2016/1/21,0.103491272
2016/1/20,0.13795424
2016/1/19,0.118747751
2016/1/18,0.047337278
2016/1/15,0.116214335
2016/1/14,0.020954998
2016/1/13,-0.106430868
2016/1/12,-0.049933862
2016/1/11,-0.067791113
2016/1/8,-0.078797468
2016/1/7,-0.064942874
2016/1/6,-0.104530649
2016/1/5,-0.103257708
2016/1/4,-0.136376059
2015/12/31,-0.109266202
2015/12/30,-0.101861702
2015/12/29,-0.062704471
2015/12/28,-0.021396095
2015/12/24,0.020218579
2015/12/23,-0.008700237
2015/12/22,-0.02937285
2015/12/21,0.027762507
2015/12/18,0.010212531
2015/12/17,0.037756498
2015/12/16,0.022733424
2015/12/15,-0.031674208
2015/12/14,-0.057737321
2015/12/11,-0.037904712
2015/12/10,-0.034491769
2015/12/9,-0.050063211
2015/12/8,-0.046615423
2015/12/7,-0.061047949
2015/12/4,-0.058780128
2015/12/3,-0.084914391
2015/12/2,-0.084657286
2015/12/1,-0.052014995
2015/11/30,-0.081752484
2015/11/27,-0.028764045
2015/11/26,-0.018052151
2015/11/25,-0.064445419
2015/11/24,-0.043215212
2015/11/23,-0.030712263
2015/11/20,-0.005320328
2015/11/19,0.025629496
2015/11/18,0.045639404
2015/11/17,0.037045403
2015/11/16,0.025460332
2015/11/13,-0.008470798
2015/11/12,-0.007623318
2015/11/11,-0.020575221
2015/11/10,-0.055805967
2015/11/9,-0.059735904
2015/11/6,-0.057082452
2015/11/5,-0.051615611
2015/11/4,-0.031795511
2015/11/3,-0.02473426
2015/11/2,-0.058706468
2015/10/30,-0.022759893
2015/10/29,-0.027878788
2015/10/28,0.006377289
2015/10/27,0.023004886
2015/10/26,0.036997661
2015/10/23,0.042983565
2015/10/22,0.011023295
2015/10/21,0.018664455
2015/10/20,-0.01795782
2015/10/19,-0.021846661
2015/10/16,-0.016969945
2015/10/15,-0.045148515
2015/10/14,-0.048480032
2015/10/13,-0.021379589
2015/10/12,-0.015102698
2015/10/9,-0.002567648
2015/10/8,-0.045876777
2015/10/7,-0.074136321
2015/10/6,-0.047015928
2015/10/5,-0.029146692
2015/10/2,0.071718813
2015/10/1,0.110535048
2015/9/30,0.084269663
2015/9/29,0.076589595
2015/9/28,0.026700042
2015/9/25,0.017299578
2015/9/24,-0.005792305
2015/9/23,0.002276019
2015/9/22,0.00292887
2015/9/21,-0.036585366
