date,1: zhangdiefu,2: zhangdiefu,3: zhangdiefu,7: zhangdiefu,8: zhangdiefu,13: zhangdiefu,14: zhangdiefu,15: zhangdiefu,16: zhangdiefu,17: zhangdiefu,19: zhangdiefu
2017/5/25,0.00170503,-0.015806112,-0.000328427,0,-0.034520292,0.014628875,0.054329372,0.022346369,-0.147058824,0.040816327,0.012195122
2017/5/24,-0.00255102,-0.015806112,-0.004636096,0,-0.034520292,0.014628875,0.054329372,0.022346369,-0.147058824,0.040816327,0.012195122
2017/5/23,0.007712082,-0.00524109,-0.013775316,0,0.025684941,-0.004880066,-0.046925566,0.084848485,-0.014492754,-0.032894737,-0.154639175
2017/5/22,-0.009337861,-0.00209205,-0.003169966,0,-0.00071657,-0.012335593,0.001620746,-0.040697674,0.022222222,-0.006535948,0
2017/5/21,-0.018333333,-0.001044932,0.00678001,0,0.018852047,-0.000979352,-0.0128,0.042424242,-0.02173913,0.013245033,0.005181347
2017/5/20,0.009251472,-0.001044932,0.00678001,0,0.018852047,0.031744695,0.003210273,0.03125,0.095238095,0.027210884,-0.005154639
2017/5/19,0.011914894,-0.001044932,0.00678001,0,0.018852047,-0.033921744,0.033167496,0.012658228,-0.118881119,0,-0.067307692
2017/5/18,-0.003392706,-0.003125,0.024592387,0,-0.017712406,-0.005662056,-0.025848142,-0.048192771,0.007042254,0.122137405,0.077720207
2017/5/17,0.019896194,-0.020408163,0.046818311,0,0.017854265,0.041270109,0.045608108,-0.017751479,0,-0.15483871,-0.106481481
2017/5/16,-0.026936027,-0.014084507,0.04004725,0,0.009252796,-0.018922492,-0.0528,-0.066298343,-0.02739726,0.25,0.2
2017/5/15,0.006779661,-0.019723866,0.028169964,0,0.003207758,0.003815528,-0.0234375,0,0,0,0
2017/5/14,-0.018302829,0.001976285,0.000793436,0,-0.010766081,-0.006100577,-0.015384615,0,0.035460993,0,0
2017/5/13,0.020373514,0.001976285,0.000793436,0,-0.010766081,0.010159893,0.045016077,-0.090452261,0.1015625,-0.008,0.046511628
2017/5/12,0.01991342,0.001976285,0.000793436,0,-0.010766081,-0.004971826,0.011382114,0.093406593,-0.007751938,-0.208860759,-0.06010929
2017/5/11,0.001734605,0.006965174,-0.006657388,0,-0.038566235,0.013947236,-0.034536892,0.04,0.040322581,0.385964912,0.045714286
2017/5/10,0.012291484,-0.001986097,-0.009731148,0,0.019116315,0.018570817,0.042553191,0.029411765,0.024793388,-0.095238095,-0.027777778
2017/5/9,-0.001752848,0.005994006,-0.027423809,0,0.004407854,0.000599418,0.02173913,-0.071038251,-0.008196721,-0.148648649,-0.126213592
2017/5/8,0.004401408,0.007042254,-0.011983788,0,0.019572665,-0.011176969,0.011844332,-0.061538462,-0.008130081,-0.080745342,0
2017/5/7,-0.014744146,-0.009960159,-0.014313127,0,-0.027341358,0.001186843,-0.010050251,0,0.060344828,-0.052941176,0
2017/5/6,0.017652251,-0.009960159,-0.014313127,0,-0.027341358,-0.002789754,-0.01322314,0.037234043,-0.041322314,-0.005847953,0
2017/5/5,0.035648995,-0.009960159,-0.014313127,0,-0.027341358,0.005354411,0.12037037,-0.073891626,-0.147887324,0.295454545,-0.134453782
2017/5/4,0.016728625,-0.02901354,-0.008916602,0,-0.050202153,0.027418791,0.03250478,0.292993631,-0.188571429,-0.204819277,-0.081081081
2017/5/3,0.012229539,-0.036346692,-0.002270748,0,-0.03138306,0.034414235,-0.186625194,-0.012578616,0.944444444,0.099337748,0.295
2017/5/2,0.011417697,-0.032461677,0.002088464,0,0.011910513,0.039140229,0.025518341,0,0.071428571,0.055944056,0
2017/5/1,0.011549567,-0.022045855,0.002625246,0,0.008233429,-0.006897837,0.017857143,0,0,0.014184397,0
2017/4/30,0.010700389,-0.022045855,0.002625246,0,0.008233429,-0.004361949,0.003257329,0,0,0.052238806,0
2017/4/29,-0.009633911,-0.022045855,0.002625246,0,0.008233429,-0.005721141,-0.039123631,-0.042168675,-0.115789474,0.046875,0.111111111
2017/4/28,0,-0.022045855,0.002625246,0,0.008233429,-0.001750184,0.007886435,0.044025157,-0.030612245,0.174311927,-0.086294416
2017/4/27,-0.000962464,-0.011333915,0.001549417,0,0.032764203,-0.005040785,0.00955414,0.025806452,-0.039215686,-0.120967742,0.100558659
2017/4/26,-0.003835091,-0.006065858,-0.000265991,0,-0.005295335,-0.001281465,0.034596376,-0.03125,0.085106383,0.265306122,-0.086734694
2017/4/25,0.013605442,-0.013675214,-0.000219003,0,-0.006152573,0.018078464,-0.063271605,-0.012345679,-0.078431373,0,0.298013245
2017/4/24,-0.00483559,-0.020920502,-0.00128109,0,-0.040590842,0.013410143,-0.035714286,0,0.146067416,-0.039215686,0
2017/4/23,0.02173913,-0.038616251,0.00283579,0,0.011800311,-0.001320381,0.005988024,-0.052631579,0.011363636,0.085106383,0
2017/4/22,-0.003937008,-0.038616251,0.00283579,0,0.011800311,0.016489311,0.004511278,-0.005813953,-0.102040816,-0.040816327,0.013422819
2017/4/21,-0.0078125,-0.038616251,0.00283579,0,0.011800311,0.00850817,-0.014814815,0.02994012,0.053763441,0.166666667,0.087591241
2017/4/20,0,-0.027386541,-0.007649373,0,0.04050756,-0.005480769,0.028963415,0.04375,-0.03125,-0.066666667,-0.086666667
2017/4/19,0.020937188,-0.01236476,-0.029703717,0,-0.020637602,-0.001631948,0.044585987,-0.024390244,0.054945055,-0.042553191,-0.112426036
2017/4/18,0,-0.00154321,-0.038537965,0,-0.028979698,0.049254633,-0.017214397,0.037974684,-0.133333333,-0.087378641,0.036809816
2017/4/17,0.004004004,0.010920437,-0.045122779,0,0.015562582,0.006998681,0.001567398,0,0,0.144444444,0
2017/4/16,0.005030181,0.010920437,-0.077808289,0,-0.031387647,-0.007849452,0.011093502,0,-0.0625,-0.042553191,0
2017/4/15,-0.011928429,0.010920437,-0.077808289,0,-0.031387647,0.015430206,0.0096,0.019354839,0.046728972,0.056179775,0
2017/4/14,0.028629857,0.010920437,-0.077808289,0,-0.031387647,0.032823219,-0.065769806,0.033333333,0.038834951,-0.101010101,0.244274809
2017/4/13,-0.002040816,0.010920437,-0.037293429,0,-0.008676414,-0.000316522,0.029230769,-0.0625,-0.096491228,-0.038834951,-0.064285714
2017/4/12,-0.014084507,0.015847861,-0.025475112,0,-0.05227496,0.028987081,0.043338684,0,-0.017241379,0.009803922,0
2017/4/11,-0.001005025,0.025182778,-0.029999419,0,-0.037870502,-0.043906996,-0.028081123,0.025641026,0.008695652,0.073684211,0.076923077
2017/4/10,-0.014851485,0.006541292,-0.014648281,0,-0.008019018,-0.006804124,-0.013846154,0.006451613,0.055045872,-0.010416667,-0.235294118
2017/4/9,-0.001976285,0.006584362,-0.005331389,0,-0.036955237,-0.002262909,0,-0.006410256,0,-0.03030303,-0.005847953
2017/4/8,0.014028056,0.006584362,-0.005331389,0,-0.036955237,-0.001232792,0.051779935,-0.071428571,-0.068376068,-0.255639098,0.195804196
2017/4/7,-0.009920635,0.006584362,-0.005331389,0,-0.036955237,0.009855794,0.183908046,0.018181818,-0.145985401,-0.431623932,-0.16374269
2017/4/6,-0.002967359,-0.006541292,0.000125326,0,0.002399054,-0.016127386,-0.152597403,0.03125,0.212389381,0.983050847,0.266666667
2017/4/5,0.00999001,-0.025498008,-0.005945909,0,0.073395634,0,-0.043478261,0.038961039,0.046296296,0,0
2017/4/4,0.007042254,-0.021060842,-0.009712658,0,0.003969437,0.002866209,-0.010752688,0.054794521,-0.009174312,0,0
2017/4/3,-0.025490196,-0.01156515,-0.009712658,0,0.003969437,-0.006811712,-0.00913242,-0.051948052,0,0,0
2017/4/2,-0.001956947,-0.020392749,-0.009712658,0,0.003969437,-0.029310175,-0.029542097,0,-0.221428571,0,0
2017/4/1,-0.02851711,-0.020392749,-0.009712658,0,0.003969437,0.031873727,0.032012195,0.006535948,0.37254902,-0.032786885,0
2017/3/31,0.009596929,-0.020392749,-0.009712658,0,0.003969437,0.024196913,-0.009063444,0.013245033,0,0.196078431,-0.02173913
2017/3/30,0.026600985,-0.010463378,-0.00476621,0,0.001653305,0.003348681,0.010687023,0,0.02,-0.105263158,0.045454545
2017/3/29,0.001974334,0.003750938,-0.012325399,0,0.04852406,0.011002962,0.003062787,-0.032051282,0.020408163,-0.05785124,0.294117647
2017/3/28,0.021169355,0.039781591,-0.030286508,0,-0.014606715,0.007246377,-0.042521994,0.012987013,-0.02,0.1,0
2017/3/27,0.002020202,0.033870968,-0.117913319,0,-0.051968487,0.009466437,-0.011594203,0.026666667,0.01010101,0,0
2017/3/26,0.014344262,0.036789298,-0.04692401,0,-0.006340584,-0.007261854,0.017699115,0,-0.057142857,-0.009009009,0
2017/3/25,-0.00509684,0.036789298,-0.04692401,0,-0.006340584,0.002676946,0.005934718,0.034482759,0.105263158,-0.075,0
2017/3/24,0.013429752,0.036789298,-0.04692401,0,-0.006340584,0.00150134,0.004470939,-0.064516129,0.032608696,0.165048544,0
2017/3/23,0.011494253,0.005042017,-0.037216828,0,0.024019948,-0.000214431,-0.004451039,0.115107914,0.057471264,0.009803922,0
2017/3/22,0.007368421,-0.008333333,-0.018897718,0,-0.027012975,-0.019449117,0.041731066,-0.007142857,-0.02247191,-0.072727273,-0.19047619
2017/3/21,0.012793177,-0.004149378,0.002254801,0,-0.007554764,-0.012765957,-0.0152207,0.007194245,-0.091836735,0.157894737,0.188679245
2017/3/20,0.004282655,0.007525084,0.008019418,0,0.022143015,-0.007723996,-0.006051437,0.022058824,0,-0.12037037,0
2017/3/19,0.004301075,0.020477816,0.006769826,0,-0.02035156,-0.006547984,-0.007507508,0,0,0.136842105,0
2017/3/18,0.003236246,0.020477816,0.006769826,0,-0.02035156,0.006591143,0.057142857,-0.028571429,-0.125,-0.030612245,0
2017/3/17,0.003246753,0.020477816,0.006769826,0,-0.02035156,0.00320281,-0.029275809,-0.090909091,0.178947368,0.180722892,0
2017/3/16,0.004347826,0.02179599,-0.003347763,0,-0.004879292,-0.011136085,0.010903427,0.006535948,-0.077669903,-0.224299065,0.070707071
2017/3/15,0.002178649,0.03147482,-0.016787809,0,-0.003263592,-0.018254764,0.054187192,0.02,-0.046296296,0,-0.131578947
2017/3/14,0.011013216,0.011828935,-0.032175907,0,-0.004253671,0.002614642,-0.028708134,0.111111111,0.018867925,0.049019608,0.008849558
2017/3/13,0.008888889,0.011970534,-0.023166888,0,0.032025711,-0.005102551,-0.017241379,0.038461538,0,-0.046728972,0
2017/3/12,0.013513514,0.020676692,0.002028007,0,-0.023362704,-0.007152081,0.003144654,0,0.00952381,0,0
2017/3/11,0.036172695,0.020676692,0.002028007,0,-0.023362704,0.007203602,-0.00625,-0.051094891,0.05,0.049019608,0.066037736
2017/3/10,0,0.020676692,0.002028007,0,-0.023362704,-0.020098039,-0.027355623,0.030075188,-0.056603774,0.228915663,0.06
2017/3/9,-0.009248555,0.018181818,0.028407264,0,0.006941005,-0.01525391,0.00304878,-0.007462687,0.029126214,-0.153061224,-0.159663866
